XF,OIL,Version,6.96,,,,,XFO,IL,Version,6.96,,,
,,,,,,,,,,,,,,
Calcula,ted polar,for: NACA,2412,,,,,Calcula,ted polar,for: NACA,10,,,
,,,,,,,,,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,,,1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,
,,,,,,,,,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,,,xtrf =,1.000 (,top),1.000 (b,ottom),,
Mach =,0,Re =,1.000 e,6     Ncr,it =   9.,0,,Mach =,0,Re =,1.000 e,6     Ncr,it =   9.,0
,,,,,,,,,,,,,,
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
------,--------,---------,---------,--------,--------,--------,,------,--------,---------,---------,--------,--------,--------
-17.5,-1.1118,0.08608,0.0834,-0.0338,1,0.015,,-18,-1.0039,0.15161,0.14975,0.0348,1,0.0085
-17.25,-1.1738,0.07238,0.0695,-0.0418,1,0.0147,,-17.75,-1.0775,0.13031,0.12822,0.0233,1,0.0082
-17,-1.2296,0.05928,0.05617,-0.0502,1,0.0145,,-17.5,-1.1221,0.1168,0.11455,0.0161,1,0.008
-16.75,-1.2629,0.04931,0.046,-0.0575,1,0.0145,,-17.25,-1.1624,0.1048,0.10239,0.0099,1,0.0079
-16.5,-1.279,0.04253,0.03904,-0.063,1,0.0146,,-17,-1.1984,0.09402,0.09147,0.0042,1,0.0077
-16.25,-1.2852,0.03792,0.0343,-0.0665,1,0.0148,,-16.75,-1.2283,0.08447,0.08177,-0.0008,1,0.0076
-16,-1.2869,0.03455,0.0308,-0.0685,1,0.015,,-16.5,-1.2553,0.07551,0.07267,-0.0058,1,0.0076
-15.75,-1.2853,0.03207,0.0282,-0.0693,1,0.0153,,-16.25,-1.2801,0.06692,0.06393,-0.0109,1,0.0075
-15.5,-1.2815,0.03016,0.02619,-0.0692,1,0.0156,,-16,-1.3026,0.05885,0.05569,-0.016,1,0.0075
-15.25,-1.2755,0.02867,0.0246,-0.0684,1,0.0159,,-15.75,-1.3211,0.05178,0.04845,-0.0205,1,0.0075
-15,-1.2674,0.02752,0.02333,-0.0671,1,0.0161,,-15.5,-1.3399,0.04522,0.0417,-0.0245,1,0.0076
-14.75,-1.2667,0.02608,0.02179,-0.0647,1,0.0165,,-15.25,-1.3531,0.04023,0.03653,-0.0269,1,0.0077
-14.5,-1.2585,0.02491,0.02057,-0.0629,1,0.0171,,-15,-1.3634,0.03627,0.03241,-0.0278,1,0.0078
-14.25,-1.2429,0.02417,0.01979,-0.0618,1,0.0176,,-14.75,-1.3685,0.03339,0.02938,-0.0274,1,0.0079
-14,-1.2251,0.02358,0.01917,-0.0608,1,0.0181,,-14.5,-1.3699,0.03118,0.02706,-0.0263,1,0.0081
-13.75,-1.2068,0.02304,0.01857,-0.0597,1,0.0187,,-14.25,-1.3672,0.02949,0.02527,-0.0248,1,0.0083
-13.5,-1.1881,0.02254,0.01802,-0.0586,1,0.0192,,-14,-1.3617,0.02814,0.02382,-0.0229,1,0.0085
-13.25,-1.169,0.02212,0.01752,-0.0575,1,0.0197,,-13.75,-1.3544,0.027,0.02259,-0.0209,1,0.0087
-13,-1.1561,0.02124,0.01656,-0.0556,1,0.0203,,-13.5,-1.3446,0.02599,0.02149,-0.0189,1,0.009
-12.75,-1.1417,0.02051,0.0158,-0.0538,1,0.0209,,-13.25,-1.331,0.025,0.02041,-0.0175,1,0.0092
-12.5,-1.1239,0.02009,0.01536,-0.0523,1,0.0215,,-13,-1.3156,0.02409,0.0194,-0.0163,1,0.0095
-12.25,-1.1058,0.01971,0.01495,-0.0508,1,0.022,,-12.75,-1.2988,0.02324,0.01844,-0.0151,1,0.0098
-12,-1.0881,0.01933,0.01452,-0.0492,1,0.0226,,-12.5,-1.2804,0.02249,0.0176,-0.0141,1,0.01
-11.75,-1.0704,0.01896,0.0141,-0.0475,1,0.0232,,-12.25,-1.2695,0.02091,0.01586,-0.0123,1,0.0106
-11.5,-1.0519,0.01868,0.01375,-0.0459,1,0.0237,,-12,-1.2517,0.01997,0.01486,-0.0112,1,0.0112
-11.25,-1.0327,0.01847,0.0135,-0.0444,1,0.024,,-11.75,-1.2312,0.01929,0.01413,-0.0103,1,0.0117
-11,-1.0222,0.01737,0.01233,-0.0419,1,0.025,,-11.5,-1.2099,0.01869,0.01347,-0.0096,1,0.0123
-10.75,-1.0046,0.01696,0.0119,-0.0402,1,0.0257,,-11.25,-1.188,0.01811,0.01282,-0.0089,1,0.0129
-10.5,-0.9766,0.01657,0.01149,-0.0406,0.9993,0.0264,,-11,-1.1652,0.01763,0.01226,-0.0083,1,0.0133
-10.25,-0.9448,0.01617,0.01105,-0.0418,0.9981,0.0272,,-10.75,-1.1457,0.0167,0.01127,-0.0072,1,0.0146
-10,-0.9125,0.01582,0.01065,-0.043,0.9968,0.028,,-10.5,-1.122,0.01629,0.01087,-0.0068,1,0.0157
-9.75,-0.8793,0.01556,0.01034,-0.0443,0.9956,0.0286,,-10.25,-1.0975,0.01596,0.01052,-0.0063,1,0.0168
-9.5,-0.8484,0.01474,0.00944,-0.0455,0.9945,0.0296,,-10,-1.0727,0.01568,0.0102,-0.0059,1,0.0176
